Symbol,% Chg(Open),Last Trade,Change ,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
DKS   ,-6.58      ,47.76     ,-4.85  ,51.25 ,47.54 ,21463490  ,52.61     ,51.13 ,-9.22   ,4.63B     ,Consumer Discretionary    ,NYSE    ,18.21    , 
ZTO   ,-6.13      ,12.25     ,-0.71  ,13.12 ,12.14 ,2516572   ,12.96     ,13.05 ,-5.48   ,6.81B     ,Industrials               ,NYSE    ,29.55    , 
THO   ,-5.37      ,104.85    ,-10.57 ,111.00,102.55,3108243   ,115.42    ,110.80,-9.16   ,6.07B     ,Consumer Discretionary    ,NYSE    ,21.35    , 
RDC   ,-3.91      ,16.82     ,-0.62  ,17.59 ,16.79 ,1966442   ,17.43     ,17.50 ,-3.53   ,2.19B     ,Energy                    ,NYSE    ,6.83     , 
GPK   ,-3.90      ,12.57     ,-0.58  ,13.08 ,12.55 ,5950877   ,13.15     ,13.08 ,-4.41   ,4.10B     ,Materials                 ,NYSE    ,18.52    , 
FBR   ,-3.72      ,8.03      ,-0.15  ,8.34  ,8.00  ,1612807   ,8.18      ,8.34  ,-1.83   ,4.58B     ,Materials                 ,NYSE    ,9.61     , 
CPN   ,-3.71      ,11.28     ,-0.42  ,11.78 ,11.26 ,2167511   ,11.69     ,11.71 ,-3.55   ,4.20B     ,Utilities                 ,NYSE    ,44.98    , 
CLF   ,-3.69      ,9.535     ,-0.365 ,10.08 ,9.53  ,11515008  ,9.90      ,9.90  ,-3.69   ,2.93B     ,Materials                 ,NYSE    ,11.37    , 
ESV   ,-3.68      ,9.2853    ,-0.3447,9.72  ,9.28  ,7611301   ,9.63      ,9.64  ,-3.58   ,2.92B     ,Energy                    ,NYSE    ,3.08     , 
SIG   ,-3.11      ,62.67     ,-2.92  ,64.99 ,62.10 ,2045487   ,65.59     ,64.68 ,-4.45   ,5.11B     ,Consumer Discretionary    ,NYSE    ,9.82     , 
TDG   ,-3.10      ,239.93    ,-7.26  ,248.34,233.75,1382543   ,247.19    ,247.61,-2.94   ,13.06B    ,Industrials               ,NYSE    ,28.89    , 
KS    ,-3.06      ,21.88     ,-0.78  ,22.64 ,21.75 ,1043151   ,22.66     ,22.57 ,-3.44   ,2.19B     ,Materials                 ,NYSE    ,25.75    , 
QVCA  ,-2.97      ,18.81     ,-0.40  ,19.38 ,18.72 ,1804644   ,19.21     ,19.38 ,-2.11   ,8.76B     ,Consumer Discretionary    ,NASDAQ  ,19.60    , 
MGM   ,-2.88      ,25.61     ,-0.94  ,26.41 ,25.33 ,15161988  ,26.55     ,26.37 ,-3.54   ,15.24B    ,Consumer Discretionary    ,NYSE    ,13.82    , 
UAA   ,-2.86      ,19.38     ,-0.67  ,20.00 ,19.26 ,5256633   ,20.05     ,19.95 ,-3.34   ,7.72B     ,Consumer Discretionary    ,NYSE    ,45.05    , 
MIK   ,-2.74      ,20.91     ,+0.38  ,21.84 ,20.53 ,2938261   ,20.53     ,21.50 ,+1.85   ,4.13B     ,Consumer Discretionary    ,NGM/NGS ,11.72    , 
SID   ,-2.68      ,3.63      ,-0.02  ,3.74  ,3.60  ,1749137   ,3.65      ,3.73  ,-0.55   ,5.14B     ,Materials                 ,NYSE    ,13.43    , 
RAD   ,-2.57      ,5.115     ,-0.115 ,5.28  ,5.07  ,13241477  ,5.23      ,5.25  ,-2.20   ,5.51B     ,Consumer Staples          ,NYSE    ,65.80    , 
CTL   ,-2.43      ,22.47     ,-0.63  ,23.09 ,22.47 ,7350622   ,23.10     ,23.03 ,-2.73   ,12.63B    ,Telecommunication Services,NYSE    ,19.91    , 
LB    ,-2.35      ,50.02     ,-1.42  ,51.73 ,50.00 ,2016799   ,51.44     ,51.22 ,-2.77   ,14.71B    ,Consumer Discretionary    ,NYSE    ,12.93    , 
