Symbol,% Change,Description              ,Last Trade,Volume    ,% Chg(Open),Exchange ,Dividend,Relative Strength, 
TLRD  ,-32.18  ,TAILORED BRANDS INC      ,15.85     ,14483945  ,-4.11      ,NYSE     ,0.72    ,91.00            , 
VNET  ,-19.15  ,21VIANET GROUP INC       ,5.70      ,4293905   ,-13.64     ,NASDAQ   ,--      ,12.00            , 
FMSA  ,-16.86  ,FAIRMOUNT SANTROL HOLDING,7.20      ,20719822  ,-4.26      ,NYSE     ,--      ,71.00            , 
PRKR  ,-15.30  ,PARKERVISION INC         ,2.3801    ,1888143   ,-13.45     ,NCM      ,--      ,4.00             , 
HCLP  ,-15.22  ,HI-CRUSH PARTNERS LP     ,14.63     ,4966982   ,-13.97     ,NYSE     ,--      ,19.00            , 
IGT   ,-14.86  ,INTL GAME TECHNOLOGY PLC ,23.55     ,3804211   ,-14.33     ,NYSE     ,0.80    ,78.00            , 
HZN   ,-14.69  ,HORIZON GLOBAL CORP      ,14.52     ,2055069   ,+2.91      ,NYSE     ,--      ,4.00             , 
TELL  ,-12.08  ,TELLURIAN INC            ,9.97      ,2232472   ,-10.98     ,NASDAQ   ,--      ,--               , 
MOMO  ,-11.69  ,MOMO INC  -ADR           ,30.19     ,18257328  ,-8.31      ,NASDAQ   ,--      ,95.00            , 
CVEO  ,-11.68  ,CIVEO CORP               ,2.95      ,2034418   ,-10.33     ,NYSE     ,--      ,--               , 
SND   ,-11.33  ,SMART SAND INC           ,13.31     ,1279481   ,-11.80     ,NASDAQ   ,--      ,94.00            , 
EMES  ,-10.77  ,EMERGE ENERGY SERVICES LP,13.67     ,1126563   ,-9.35      ,NYSE     ,--      ,97.00            , 
PLPM  ,-9.48   ,PLANET PAYMENT INC       ,3.82      ,1065882   ,-9.48      ,NASDAQ   ,--      ,66.00            , 
SFS   ,-9.07   ,SMART & FINAL STORES INC ,11.28     ,1642988   ,-0.66      ,NYSE     ,--      ,23.00            , 
RATE  ,-8.68   ,BANKRATE INC             ,10.00     ,661313    ,+1.01      ,NYSE     ,--      ,34.00            , 
SSYS  ,-8.48   ,STRATASYS LTD            ,18.35     ,2113502   ,-0.81      ,NGM/NGS  ,--      ,65.00            , 
PIR   ,-8.26   ,PIER 1 IMPORTS INC/DE    ,6.55      ,2145254   ,-7.49      ,NYSE     ,0.28    ,89.00            , 
GTT   ,-8.04   ,GTT COMMUNICATIONS INC   ,23.45     ,662908    ,-9.63      ,NYSE     ,--      ,68.00            , 
CSTM  ,-8.00   ,CONSTELLIUM NV           ,6.90      ,3116125   ,+5.34      ,NYSE     ,--      ,94.00            , 
ERII  ,-7.91   ,ENERGY RECOVERY INC      ,7.92      ,1167017   ,-12.00     ,NASDAQ   ,--      ,6.00             , 
MTW   ,-7.61   ,MANITOWOC CO             ,5.71      ,1896182   ,-7.31      ,NYSE     ,--      ,54.00            , 
BIOC  ,-7.49   ,BIOCEPT INC              ,2.10      ,1243800   ,-7.49      ,NASDAQ   ,--      ,--               , 
YRD   ,-7.37   ,YIRENDAI LTD -ADR        ,28.15     ,930653    ,-9.19      ,NYSE     ,--      ,29.00            , 
PES   ,-7.37   ,PIONEER ENERGY SERVICES C,4.40      ,959317    ,-4.35      ,NYSE     ,--      ,14.00            , 
BPT   ,-6.51   ,BP PRUDHOE BAY ROYALTY TR,15.47     ,560997    ,-3.89      ,NYSE     ,3.98    ,5.00             , 
PER   ,-6.50   ,SANDRIDGE PERMIAN TRUST  ,2.8519    ,605150    ,-6.50      ,NYSE     ,0.48    ,48.00            , 
SMRT  ,-6.38   ,STEIN MART INC           ,2.79      ,811808    ,-6.38      ,NGM/NGS  ,0.30    ,2.00             , 
HOS   ,-6.33   ,HORNBECK OFFSHORE SVCS IN,3.625     ,722319    ,-4.35      ,NYSE     ,--      ,2.00             , 
